Name,SSN,Salary,Awards,Tax paid,Eligible for Pay raise
Ram,61301,23456,2,YES,NO
Ajay,61302,18904,0,YES,YES
Rahul,61303,93214,4,NO,YES
Balachandra,61304,87654,3,YES,YES
Moira,61305,29873,1,YES,NO
John,61306,32100,2,YES,YES
Jan,61307,78200,3,NO,NO
Arun,61308,23000,0,YES,NO
Rebby,61309,45120,0,NO,YES
Jeremy,61310,21345,0,YES,NO
Harry,61311,67500,1,YES,YES
Naidu,61312,32100,1,NO,NO
Steven,61313,12000,1,YES,YES
Jenkins,61314,11500,0,YES,YES
Allan,61315,22900,3,NO,YES
Anju,61316,29800,1,YES,NO
Karna,61317,31100,2,YES,YES
Fleeter,61318,18700,1,YES,YES
Kumar,61319,21300,1,YES,YES
Krishna,61320,32200,1,YES,YES
Ratchel,61321,30000,3,NO,YES
Arjun,61322,10200,0,YES,NO
